seccion,ratio_tell,rttr,sentimiento,volatilidad
seccion_01,0.366,24.446,-0.208,0.368
seccion_02,0.406,33.094,0.09,0.348
seccion_03,0.435,22.87,-0.287,0.349
seccion_03B,0.402,32.537,0.056,0.213
seccion_04,0.313,23.993,-0.333,0.317
seccion_05,0.392,25.942,-0.271,0.478
seccion_06,0.463,23.378,-0.028,0.502
seccion_07,0.394,23.364,-0.087,0.358
seccion_07A,0.403,23.614,0.114,0.426
seccion_07B,0.517,20.223,0.108,0.419
seccion_08,0.458,22.096,-0.332,0.448
seccion_08A,0.405,29.031,-0.072,0.506
seccion_08B,0.423,27.283,0.01,0.532
seccion_08C,0.38,24.524,-0.023,0.43
seccion_09,0.328,22.596,0.089,0.227
seccion_09A,0.406,24.764,-0.083,0.373
seccion_09B,0.524,18.153,0.098,0.287
seccion_10,0.4,27.21,-0.311,0.334
