capitulo,palabras,lectura_estimada,oraciones,longitud_media,longitud_max,longitud_min,densidad_dialogo,rttr
seccion_01,3222,14m,260,12.4,54,1,3.91,24.629
seccion_02,8488,38m,839,10.2,53,1,3.85,33.094
seccion_03,3758,17m,278,13.5,53,1,3.3,22.87
seccion_03B,11061,50m,1056,10.6,49,1,4.85,32.537
seccion_04,3313,15m,329,10.1,49,1,3.35,23.993
seccion_05,3370,15m,311,10.9,43,1,3.5,25.942
seccion_06,3679,16m,357,10.3,50,1,2.56,23.378
seccion_07,3570,16m,353,10.1,53,1,3.64,23.364
seccion_07A,2531,11m,285,8.9,37,1,5.53,23.614
seccion_07B,2133,9m,215,9.9,63,1,2.95,20.223
seccion_08,3531,16m,341,10.4,68,1,2.63,22.096
seccion_08A,6436,29m,498,12.9,53,1,3.05,29.031
seccion_08B,5140,23m,412,12.5,59,1,3.11,27.283
seccion_08C,5133,23m,380,13.5,69,1,4.38,24.524
seccion_09,3454,15m,242,14.3,55,1,5.85,22.596
seccion_09A,4685,21m,358,13.1,65,1,4.65,24.764
seccion_09B,2297,10m,170,13.5,52,1,3.48,18.153
seccion_10,8280,37m,631,13.1,70,1,2.14,27.21
